,Star_name.1,Distance.1,Mass.1,Radius.1
0,LHS 102BC,,,
1,2MASS J00034227-2822410,,,
2,2MASS J02511327+0047364,,,
3,TWA 27A,,,
4,TWA 27B,,,
5,2MASS J14112131-2119503,,,
6,2MASS J02103857-3015313,101.0,15,1.53
7,2MASS J13204427+0409045,101.0,67,1.01
8,WISE 0038+8405,101.8,,
9,2MASS J06085283-2753583,102.0,38,1.51
10,WISE 1147-2040,102.0,,
11,CFBDSIR 1458+10A,104.0,11.1,1.5
12,CFBDSIR 1458+10B,104.0,9,1.3
13,2MASS J20004841-7523070,105.0,25,1.88
14,WISE 0316+4307,106.3,,
15,WISE 1830+4542,107.0,,
16,2MASSI J1017075+130839 [de],108.0,,
17,2MASSW J2101154+175658,108.0,,
18,WISE 1506+7027,11.1,,
19,2MASS J16262034+3925190 [de],110.0,71,1.03
20,SDSS J020742.48+000056.2 [de],111.0,47,0.97
21,WISEA 1101+5400,111.0,,
22,HB 2124-4228,113.0,94,1.21
23,2MASSI J1726000+153819,114.0,24,1.4
24,2MASSW J1239272+551537 [de],119.0,,
25,Teegarden's star,12.578,80,1.27
26,2M1510,120.0,40 + 39 + ?,
27,2MASS J11544223-3400390 [de],129.0,37,1.5
28,DEN 1048-3956,13.15,77,1.07
29,UGPS J072227.51-054031.2,13.4,26,0.98
30,2MASS J01415823-4633574 [de],130.0,20,1.61
31,DENIS-P J035726.9-441730 [de],130.0,,
32,2MASS J00332386-1521309 [de],131.0,29,1.43
33,WISE 1841+7000,131.1,,
34,TWA 26,137.0,30,2.2
35,2MASSW J1841086+311727,138.0,67,1.01
36,2MASS J04362788-4114465,142.0,39,1.97
37,WISE 0106+1518,142.9,,
38,2MASS J00250365+4759191AB,143.0,,
39,2MASS J23225299-6151275,148.0,17,1.59
40,SDSS J141659.78+500626.4 [de],149.0,59,0.99
41,2MASS J02411151-0326587 [de],152.0,27,1.41
42,2MASSW J2208136+292121,154.0,27,1.41
43,2MASS J02340093-6442068,155.0,20,1.62
44,DENIS J081730.0-615520,16.1,44,0.94
45,DEN 0255-4700,16.2,80,0.97
46,WISE 1639-6847,16.3,,
47,2MASSI J0117474-340325 [de],163.0,20,1.62
48,Cha 110913-773444,163.0,8,1.8
49,2MASS 0939−2448,17.4,32,0.95
50,WISE 0350-5658,17.7,,
51,2MASS J11145133−2618235,18.2,33,0.96
52,LSR J1835+3259,18.5,77,1.07
53,2MASS J04151954−0935066,18.6,30,0.95
54,WISE 1741+2553,18.9,,
55,TWA 28,180.0,36,2.39
56,2MASS J02535980+3206373,184.0,65,1.9
57,WISE 0359-5401,19.2,,
58,2MASS J00040288-6410358,192.0,19,1.63
59,2MASS J03231002-4631237,192.0,23,1.66
60,WISE 0410+1502,20.0,6,1.17
61,WISE 1541-2250,20.0,,
62,WISE 1738+2732,20.0,,
63,2MASSI J0937347+293142,20.0,42,0.94
64,WISE 0146+4234,20.5,,
65,2MASS 1503+2525,20.7,44,0.94
66,LP 944-20,20.9,73,1.43
67,2MASS J12074836-3900043,217.0,17,1.71
68,WISE 1928+2356,22.8,,
69,WISE 0005+3737,23.2,,
70,WISE 0713-2917,23.2,,
71,2MASSI J0835425-081923 [de],23.53,62,1.0
72,2MASS 1507−1627,23.9,60,0.99
73,2MASS J00274197+0503417,236.0,31,1.44
74,WISE J0254+0223,24.0,65,1.9
75,WISE 0049+2151,24.1,,
76,WISE 2056+1459,24.5,,
77,WISE 1405+5534,25.3,30,0.86
78,WISE 0607+2429,25.4,,
79,2MASS J07290002-3954043 [de],25.8,37,0.94
80,2MASS J21481628+4003593,26.3,55,0.99
81,WISE 2220-3628,26.4,,
82,TWA 29,262.0,2.00,25.0
83,2MASS J03341218-4953322,27.0,73,1.04
84,2MASS J08533619-0329321,27.6,77,1.07
85,WISEPA J164715.59+563208.2,28.0,41,0.94
86,WISE 0313+7807,28.0,,
87,WISE 0647-6232,28.0,,
88,WISE 1647+5632,28.0,,
89,2MASS 0036+1821,28.6,42,0.94
90,WISE 1800+0134,28.7,57,
91,2MASS J04390101-2353083 [de],29.5,48,0.97
92,2MASSI J0727182+171001 [de],29.6,41,0.94
93,ULAS J141623.94+134836.3,29.7,32,0.96
94,2MASS J03552337+1133437,29.8,20,1.32
95,CFBDS J005910.90–011401.3,30.0,23,
96,WISE 0148-7202,30.0,,
